label,yes,no,total,version
Inspector,37500,16033064,16070564,29
Net Monitor,7390,16063174,16070564,29
Responsive Design,3691,16066873,16070564,29
Style Editor,7934,16062630,16070564,29
Debugger,9140,16061424,16070564,29
Web Console,27077,16043487,16070564,29
